"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Entity Management","0","Core Functionality","2","0","Получение списка сущностей","0"
"0","Entity Management","0","Core Functionality","1","0","Создание сущности","0"
"0","Entity Management","0","Core Functionality","1","0","Обновление сущности","0"
"0","Entity Management","0","Core Functionality","1","0","Удаление сущности","0"
