"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","Entity Management","0","Core Functionality","0","0","Получение списка сущностей","0"
"1","Entity Management","0","Core Functionality","0","0","Создание сущности","0"
"1","Entity Management","0","Core Functionality","0","0","Удаление сущности","0"
"1","Entity Management","0","Core Functionality","0","0","Обновление сущности","0"
